Script started on Mon Jul  5 10:25:32 2021
command: php list.php
PHP Notice:  Use of undefined constant cnf_CLI - assumed 'cnf_CLI' in /Users/yb/github/pw_profile_united.git/site-united/classes/debug.php on line 16
===============OK Hermès, Muzerolles, 1986, Christiane Vauzelles
===============OK Hermès, Sulfures & presse-papiers, 1979, Cathy Latham-Audibert
===============OK Hermès, Cheval Turc, 1970/1989, Christiane Vauzelles
===============OK Hermès, Bride de cour, 1970/1987, Françoise de La Perrière
===============OK Hermès, Ex-libris (gavroche), 1946/1998, Hugo Grygkar
===============OK Hermès, Monsieur et Madame, 2020, Bali Barret
===============OK Hermès, Hermes-sellier, 2009/2012, Benoît-Pierre Emery
===============OK Hermès, Reprise , 1970/1993, Philippe Ledoux
===============OK Hermès, Le saut H, 2016, Cyrille Diatkine
===============OK Hermès, Afrika, 1997, Robert Dallet
===============OK Hermès, Couvee d'Hermes, 1994, Cathy Latham-Audibert
===============OK Hermès, Palefroi, 1965/1983, Françoise de La Perrière
===============OK Hermès, Tarot, 1991, Annie Faivre
===============OK Hermès, Jeu de Omnibus et DameBlanche, 1936, Hugo Grygkar
===============OK Hermès, Casse-noisette, 1997, Antoine de Jacquelot
===============OK Hermès, Fafandole, , Cathy Latham-Audibert
===============OK Hermès, Magic Kelly, 2011, Dimitri Rybaltchenko
===============OK Hermès, Maillons, 1973, Cathy Latham-Audibert
===============OK Hermès, Ryton, 1978, Karin Swildens
===============OK Hermès, Sacre du printems, 1986, Henri d&#039;Origny
===============OK Hermès, Armes de chasse, 1970/1981, Philippe Ledoux
===============OK Hermès, Cuivreries (Variant), 1963, Françoise de La Perrière
===============OK Hermès, Passementerie, 1960/1981, Françoise Heron
===============OK Hermès, Tropiques, 1987/1990, Laurence Bourthoumieux
===============OK Hermès, Cavaliers peuls, 1993, Jean de Fougerolle
===============OK Hermès, Flore, 1967, Philippe Ledoux
===============OK Hermès, Avenue des acasias, 1964, Philippe Ledoux
===============OK Hermès, Marine et cavalerie, 1966/1984, Philippe Ledoux
===============OK Hermès, Selles a housse, 1968/1989, Christiane Vauzelles
===============OK Hermès, Le temps des marionnettes, 1996, Annie Faivre
===============OK Hermès, Azulejos, , Catherine Baschet
===============OK Hermès, Equitation japonaise, 1969, Françoise de La Perrière
===============OK Hermès, L'art des steppes, 1991/1997/2000, Annie Faivre
===============OK Hermès, Plumes, 1953/1964, Henri de Linarès
===============OK Hermès, Vive le vent, 1992/1995, Laurence Bourthoumieux
===============OK Hermès, Brides de Gala, 1957/1967/2009, Hugo Grygkar
===============OK Hermès, Clefs, 1965/1980/2010, Cathy Latham-Audibert
===============OK Hermès, Grand manege, 1990/1993, Henri d&#039;Origny
===============OK Hermès, Escuela Andaluza, 1996/2000, Hubert de Watrigant
===============OK Hermès, Mozart, 1991, Julia Abadie
===============OK Hermès, Springs, 1974/1981, Philippe Ledoux
===============OK Hermès, Brazil, 1988/1991, Laurence Bourthoumieux
===============OK Hermès, Etriers, 1964/1990, Françoise de La Perrière
===============OK Hermès, Torana, 1987/1990/2000, Annie Faivre
===============OK Hermès, Reale, 1953/1990, Hugo Grygkar
===============OK Hermès, Zabavushka, 2009, Evgenia Miro (Miroshnichenko)
===============OK Hermès, Bolduc, 1998, Jean-Louis Dumas
===============OK Hermès, Coqs, 1964, La Torre
===============OK Hermès, Libre comme l'air, 2003, Annie Faivre
===============OK Hermès, Grande venerie royale, 1957, Charles-Jean Hallo
===============OK Hermès, Napoleon, 1963/1985, Philippe Ledoux
===============OK Hermès, Tambours, 1989/1990, Joachim Metz
===============OK Hermès, Hemisphaerium Coeli Boreale, 1938, Hugo Grygkar
===============OK Hermès, Bride de gala, , Hugo Grygkar
===============OK Hermès, Etude pour une parure, 2017, Florance Manlik
===============OK Hermès, Marche Flottant du Lac Inle II, 1998/2001, Dimitri Rybaltchenko
===============OK Hermès, Levriers, 1957/1970/2002, Xavier de Poret
===============OK Hermès, Reveries japonaises, 1991, Cathy Latham-Audibert
===============OK Hermès, L'Hiver, 1969(1968?), Philippe Ledoux
===============OK Hermès, Armes de Paris, 1954/1992, Hugo Grygkar
===============OK Hermès, Cuillers d,Afrique, 1997, Cathy Latham-Audibert
===============OK Hermès, Parures de Samouraïs, 2017, Aline Honore
===============OK Hermès, Tribord, 1968/1990, Julia Abadie
===============OK Hermès, Les Folies Du Ciel, 1984/1990, Loïc Dubigeon
===============OK Hermès, Cavalcadour, 1982/1992/2012, Henri d&#039;Origny
===============OK Hermès, Festival des amazones, 2013/2014, Henri d&#039;Origny
===============OK Hermès, Insectes, 1958, La Torre, Hugo Grygkar
===============OK Hermès, Mare aux canards, 1981, Daphne Duchesne
===============OK Hermès, Rose de vents, 1984/2012, Joachim Metz
===============OK Hermès, Carpe Diem, 1994, Joachim Metz
===============OK Hermès, Astrologie nouvelle, 2012, Marie-Françoise Faconnet, Cyrille Diatkine
===============OK Hermès, Eperon d'or, 1974/1989, Henri d&#039;Origny
===============OK Hermès, La mecanique des idees, 2004, Christine Henry
===============OK Hermès, Petits chevaux, 1974, Jacques Eudel
===============OK Hermès, Tuileries, 1996, Joachim Metz
===============OK Hermès, Les Voitures a Transformation, 1965/1980, Françoise de La Perrière
===============OK Hermès, Charreada, 1990, Jean de Fougerolle
===============OK Hermès, Gibiers, 1966/1991/1997, Henri de Linarès
===============OK Hermès, Azuejos, 1992, Catherine Baschet
===============OK Hermès, Mors a la conetable, 1970/1985, Henri d&#039;Origny
===============OK Hermès, Splendeur des maharadjas, 1996/2001, Catherine Baschet
===============OK Hermès, Avenue des Acacias, 1960, Philippe Ledoux
===============OK Hermès, Escuela Andalusa, , Hubert de Watrigant
===============OK Hermès, Le Carnaval de Venise, 1993/1997, Hubert de Watrigant
===============OK Hermès, Promenade de Longchamp, 1965/1970, Philippe Ledoux
===============OK Hermès, Wachington's carriage, 1979/1981, Cathy Latham-Audibert
===============OK Hermès, Grand Cortège a Moscou, 1992, Michel Duchêne
===============OK Hermès, Clic-clac, 1979/1997/2011, Julia Abadie
===============OK Hermès, Grand tenue, 1985/1998, Henri d&#039;Origny
===============OK Hermès, Farandole, 1977/1990/2006, Cathy Latham-Audibert
===============OK Salvatore Ferrogamo, Tiger
===============OK Lanvin, Lanvin
===============OK Tiffany & Co.
===============OK Yves Saint-Laurent, YSL

Afrika                         Robert Dallet             1997                       OK Hermès, Afrika, 1997, Robert Dallet
Armes de Paris                 Hugo Grygkar              1954/1992                  OK Hermès, Armes de Paris, 1954/1992, Hugo Grygkar
Armes de chasse                Philippe Ledoux           1970/1981                  OK Hermès, Armes de chasse, 1970/1981, Philippe Ledoux
Astrologie nouvelle            Faconnet&Diatkine         2012                       OK Hermès, Astrologie nouvelle, 2012, Marie-Françoise Faconnet, Cyrille Diatkine
Avenue des acasias             Philippe Ledoux           1964                       OK Hermès, Avenue des acasias, 1964, Philippe Ledoux
Azuejos                        Catherine Baschet         1992                       OK Hermès, Azuejos, 1992, Catherine Baschet
Brazil                         Laurence Bourthoumieux    1988/1991       2          OK Hermès, Brazil, 1988/1991, Laurence Bourthoumieux
Bride de cour                  Francoise Perriere        1970/1987                  OK Hermès, Bride de cour, 1970/1987, Françoise de La Perrière
Brides de gala                 Hugo Grygkar              1957/1967/2009             OK Hermès, Brides de Gala, 1957/1967/2009, Hugo Grygkar
