# HERMES scarfar(väskor) är en investering,och mycket roligare än aktier!
2018-09-11."Afrika".                                   Dallet,Robert . 1997
."Armes de Paris".                  Grygkar,Hugo .              1954/1992. П Юры
."Armes de chasse".                 Ledoux,Philippe.                 1970/1981
."Astrologie nouvelle".           Faconnet,Marie-Françoise&Diatkine,Cyrille .           2012 . ES
2004-03."Avenue des acacias".           Ledoux,Philippe         .         1964
."Azuejos".                              Baschet,Catherine        .      1992
2008-03-06."Brazil".                                 Bourthoumieux,Laurence .  1988/1991 .  2
."Bride de cour".                   de La Perrière,Françoise    .           1970/1987
."Brides de Gala".                  Grygkar,Hugo           .      1957/1967/2009
."Casse-noisette".              de Jacquelot,Antoine        .     1997
."Cavalcadour".                    d'Origny,Henri .1982/1992/2012.  2
."Cavalcadour" .                   d'Origny,Henri .1982/1992/2012.  МaxTwilly
2009-11-09."Cavaliers peuls".                Fougerolle,Jean           .       1993
."Charreada".                        Fougerolle,Jean.                 1993
2003-05-04."Cheval Turc".                       Vauzelles,Christiane.   2003. П М+A
2003-10-02."Clefs".                                  Latham,Caty.                  1965/1980/2010
."Clic-clac".                           Abadie,Julie.                   1979/1997/2011
."Coqs".                                   La Torre.                                  1964
."Couvee d'Hermès".              Latham,Caty.                         1994
."Cuillers d'Afrique".               Latham,Caty.                          1997
."Cuivreries".            de La Perrière,Françoise.                  1963.   Variant
."Eperon d'or".                         d'Origny,Henri            .       1974/1989.    2+(1)
2017-05-15."Equitation japonaise".         de La Perrière,Françoise                .1969
."Real Escuela Andaluza Del Arte Ecuestre".              de Watrigant,Hubert .        1996/2000
2012-09-28."Etriers".                                 de La Perrière,Françoise .      1964/1990
."Ex-libris"        .    Grygkar,Hugo.           1946/1998. G EL
."Etude pour une parure".      Manlik,Florence.                  2017
."Farandole".                           Latham,Caty.               1977/1990/2006
."Festival des amazones".     d'Origny,Henri            .    2013/2014
2009-11-09."La Flore".                                     Ledoux,Philippe .                  1967
."Les Folies Du Ciel".                       Dubigeon,Loic        .    1984/1990
."Gibiers".                                 de Linares,Henri.              1966/1991/1997
."Grand Cortège a Moscou".  Duchêne,Michèle.                 1992
2008-03-12."Grand manege".                   d'Origny,Henri.                1990/1993.      2
."Grand tenue".                       d'Origny,Henri.                 1985/1998
."Grande venerie royale .         Hallo,Charles-Jean          .  1957
."Hermès-sellier".                   Emery,Benoit-Pierre.    2009/2012 . G
."Insectes".                              Grygkar,Hugo & La Torre  .  1958
."Levriers".                                de Poret,Xavier            .        1957/1970/2002
."Maillons".                               Latham,Caty               .         1973
2013-02-14."Magic Kelly".                         Rybaltchenko,Dimitri          . 2011. EL
."Marche Flottant du Lac Inle II".   Rybaltchenko,Dimitri .     1998/2001
."Mare aux canards".              Duchesne,Daphne.             1981
