# HERMES scarfar(väskor) är en investering,och mycket roligare än aktier!
#
#     Прибытие Название                         Автор                                  Сделан     Коммент
  1 - 2003-05-04.  Cheval Turc.                             Vauzelles,Christiane.                       2003.            П М+A
  2 - 2003-10-02.  Clefs.                                   Latham,Caty.                                1965/1980/2010.
  3 - 2004-03.     Avenue des acacias.                      Ledoux,Philippe.                            1964.
  4 - 2005-05-05.  Muzerolles.                              Vauzelles,Christiane.                       1986.
  5 - 2008-03-06.  Brazil.                                  Bourthoumieux,Laurence.                     1988/1991.       2
  6 - 2008-03-12.  Grand manege.                            d'Origny,Henri.                             1990/1993.       2
  7 - 2009-11-09.  Cavaliers peuls.                         Fougerolle,Jean.                            1993.
  8 - 2009-11-09.  La Flore.                                Ledoux,Philippe.                            1967.
  9 - 2010-02-02.  Carpe Diem.                              Metz,Joachim.                               1994.
 10 - 2012-09-28.  Etriers.                                 de La Perrière,Françoise.                 1964/1990.
 11 - 2012-11-01.  Mozart.                                  Abadie,Julie.                               1991.
 12 - 2013-02-14.  Magic Kelly.                             Rybaltchenko,Dimitri.                       2011.            EL
 13 - 2013-04-04.  Les Tambours.                            Metz,Joachim.                               1989/1990.
 14 - 2016-04-30.  Plumes.                                  de Linares,Henri.                           1953/1964.
 15 - 2017-05-05.  Parures de Samouraïs.                   Honore,Aline.                               2017.
 16 - 2017-05-15.  Equitation japonaise.                    de La Perrière,Françoise.                 1969.
 17 - 2018-09-11.  Afrika.                                  Dallet,Robert.                              1997.
 18 - 2022-00.     Qalamdan.                                Baschet,Catherine.                          1999.
 19 - 2022-01.     Torana.                                  Faivre,Annie.                               1987/1990/2000.
 20 - 2022-02.     Libre comme l'air.                       Faivre,Annie.                               2003.
 21 - 2022-03.     Mors a jouets chemise.                   d'Origny,Henri.                             2019/2021.
 22 - 2022-04.     Paperoles.                               Stuhlhofer-Mayr,Claudia.                    2000.            G
 23 - 2022-05.     Plumes.                                  de Linares,Henri.                           1953.            G
 24 - 2022-06.     Face au large.                           Jarlegant,Dominik.                          2000.
 25 - 2022-07.     Mega chariot.                            Nomura,Daiske.                              2022.            G
 26 - 2022-08.     Ludovicus Magnus.                        de La Perrière,Françoise.                 1963.
 27 - 2022-09-08.  Modernisme Tropical.                     Jardim,Filipe.                              2015.
 28 - 2022-09.     Peinture fraiche.                        Rybaltchenko,Dimitri.                       2012.
